Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
601868,2023-04-03,2.41,2.43,2.4,2.41,309113734,746848583.0,34276227.32,78153233.6,0.0,0.0,2.43421,2.41,1,2022-09-28,1,0,0.0,2.41,0.0
601868,2023-04-04,2.41,2.5,2.41,2.5,697046813,1719854586.0,35556252.41,81071819.09,0.037344,0.037344,2.525114,2.5,1,2022-09-28,1,0,0.0,2.41,0.037344
601868,2023-04-06,2.49,2.52,2.46,2.49,343788860,853545049.0,35414027.4,80747531.81,-0.004,-0.004,2.515014,2.49,1,2022-09-28,1,0,0.0,2.5,-0.004
601868,2023-04-07,2.49,2.5,2.45,2.47,234016404,577559940.0,35129577.38,80098957.26,-0.008032,-0.008032,2.494813,2.47,1,2022-09-28,1,0,0.0,2.49,-0.008032
601868,2023-04-10,2.47,2.5,2.45,2.47,293254936,727563470.0,35129577.38,80098957.26,0.0,0.0,2.494813,2.47,1,2022-09-28,1,0,0.0,2.47,0.0
601868,2023-04-11,2.47,2.48,2.45,2.47,215999554,532026223.0,35129577.38,80098957.26,0.0,0.0,2.494813,2.47,1,2022-09-28,1,0,0.0,2.47,0.0
601868,2023-04-12,2.47,2.52,2.46,2.51,358262264,895312464.0,35698477.42,81396106.37,0.016194,0.016194,2.535215,2.51,1,2022-09-28,1,0,0.0,2.47,0.016194
601868,2023-04-13,2.5,2.64,2.49,2.6,945820337,2434598019.0,36978502.5,84314691.85,0.035857,0.035857,2.626119,2.6,1,2022-09-28,1,0,0.0,2.51,0.035857
601868,2023-04-14,2.6,2.73,2.59,2.69,1252643828,3359697088.0,38258527.59,87233277.34,0.034615,0.034615,2.717023,2.69,1,2022-09-28,1,0,0.0,2.6,0.034615
601868,2023-04-17,2.69,2.73,2.66,2.7,668389752,1800877977.0,38400752.6,87557564.62,0.003717,0.003717,2.727123,2.7,1,2022-09-28,1,0,0.0,2.69,0.003717
601868,2023-04-18,2.68,2.71,2.65,2.7,445649329,1196943254.0,38400752.6,87557564.62,0.0,0.0,2.727123,2.7,1,2022-09-28,1,0,0.0,2.7,0.0
