Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
688060,2023-04-03,66.97,69.45,66.16,68.86,539823,36953899.0,1818493.99,4142518.99,0.03971,0.03971,69.688755,68.859927,32,2022-12-14,1,0,0.0,66.23,0.03971
688060,2023-04-04,68.88,70.8,67.0,68.0,465294,31783878.0,1795782.62,4090782.62,-0.012489,-0.012489,68.818405,67.999928,32,2022-12-14,1,0,0.0,68.86,-0.012489
688060,2023-04-06,67.72,68.48,66.22,66.72,518694,34824562.0,1761979.66,4013779.66,-0.018824,-0.018824,67.523,66.719929,32,2022-12-14,1,0,0.0,68.0,-0.018824
688060,2023-04-07,67.2,69.88,65.88,69.39,647541,44372663.0,1832490.53,4174403.03,0.040018,0.040018,70.225134,69.389926,32,2022-12-14,1,0,0.0,66.72,0.040018
688060,2023-04-10,68.78,70.87,64.32,64.63,1022938,68320876.0,1706785.75,3888048.25,-0.068598,-0.068598,65.407846,64.629931,32,2022-12-14,1,0,0.0,69.39,-0.068598
688060,2023-04-11,64.18,65.45,63.73,64.72,518072,33476552.0,1709162.52,3893462.52,0.001393,0.001393,65.498929,64.719931,32,2022-12-14,1,0,0.0,64.63,0.001393
688060,2023-04-12,65.15,68.15,64.31,67.98,656822,43954182.0,1795254.45,4089579.45,0.050371,0.050371,68.798164,67.979928,32,2022-12-14,1,0,0.0,64.72,0.050371
688060,2023-04-13,67.0,67.83,65.15,65.56,600138,39621327.0,1731345.72,3943995.72,-0.035599,-0.035599,66.349038,65.559931,32,2022-12-14,1,0,0.0,67.98,-0.035599
688060,2023-04-14,66.0,67.43,65.56,66.71,417115,27794018.0,1761715.57,4013178.07,0.017541,0.017541,67.512879,66.70993,32,2022-12-14,1,0,0.0,65.56,0.017541
688060,2023-04-17,66.45,67.88,64.2,64.42,588628,38641860.0,1701239.95,3875414.95,-0.034328,-0.034328,65.195318,64.419932,32,2022-12-14,1,0,0.0,66.71,-0.034328
688060,2023-04-18,65.39,65.46,62.76,63.78,422813,26882487.0,1684338.47,3836913.47,-0.009935,-0.009935,64.547615,63.779933,32,2022-12-14,1,0,0.0,64.42,-0.009935
688060,2023-04-19,64.48,65.6,62.87,63.26,426834,27306334.0,1670606.01,3805631.01,-0.008153,-0.008153,64.021357,63.259934,32,2022-12-14,1,0,0.0,63.78,-0.008153
688060,2023-04-20,63.77,64.45,62.92,63.52,297135,18898333.0,1677472.24,3821272.24,0.00411,0.00411,64.284486,63.519934,32,2022-12-14,1,0,0.0,63.26,0.00411
688060,2023-04-21,63.98,63.99,56.37,56.96,1082234,64174225.0,1504232.03,3426632.03,-0.103275,-0.103275,57.645534,56.959941,32,2022-12-14,1,0,0.0,63.52,-0.103275
688060,2023-04-24,57.7,58.34,56.81,57.67,617144,35604183.0,1522982.12,3469344.62,0.012465,0.012465,58.364079,57.66994,32,2022-12-14,1,0,0.0,56.96,0.012465
688060,2023-04-25,56.9,58.0,54.5,55.25,477584,26871944.0,1459073.38,3323760.88,-0.041963,-0.041963,55.914953,55.249943,32,2022-12-14,1,0,0.0,57.67,-0.041963
688060,2023-04-26,55.37,57.0,54.1,54.64,408126,22558274.0,1442964.16,3287064.16,-0.011041,-0.011041,55.297611,54.639944,32,2022-12-14,1,0,0.0,55.25,-0.011041
688060,2023-04-27,54.99,56.13,54.3,54.79,299591,16536835.0,1446925.44,3296087.94,0.002745,0.002745,55.449416,54.789944,32,2022-12-14,1,0,0.0,54.64,0.002745
