Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
603949,2023-04-03,17.5,17.53,16.64,16.8,4845496,82289948.0,3524742.48,3545302.34,-0.044912,-0.044912,24.634761,23.519948,1,2023-03-10,1,0,0.0,17.59,-0.044912
603949,2023-04-04,16.7,16.7,16.41,16.53,2498484,41248782.0,3468094.83,3488324.26,-0.016071,-0.016071,24.238845,23.141949,1,2023-03-10,1,0,0.0,16.8,-0.016071
603949,2023-04-06,16.4,16.69,16.3,16.53,1364992,22473513.0,3468094.83,3488324.26,0.0,0.0,24.238845,23.141949,1,2023-03-10,1,0,0.0,16.53,0.0
603949,2023-04-07,16.55,16.64,16.51,16.56,794748,13162792.0,3474389.02,3494655.16,0.001815,0.001815,24.282836,23.183949,1,2023-03-10,1,0,0.0,16.53,0.001815
603949,2023-04-10,16.49,16.62,16.08,16.15,1468300,23946592.0,3388368.52,3408132.9,-0.024758,-0.024758,23.681631,22.60995,1,2023-03-10,1,0,0.0,16.56,-0.024758
603949,2023-04-11,16.15,16.18,15.54,16.01,1974192,31199844.0,3358995.66,3378588.72,-0.008669,-0.008669,23.476341,22.41395,1,2023-03-10,1,0,0.0,16.15,-0.008669
603949,2023-04-12,16.05,16.05,15.68,15.95,1243100,19653295.0,3346407.3,3365926.92,-0.003748,-0.003748,23.38836,22.32995,1,2023-03-10,1,0,0.0,16.01,-0.003748
603949,2023-04-13,15.9,15.94,15.67,15.72,793900,12501923.0,3298151.89,3317390.04,-0.01442,-0.01442,23.051098,22.007951,1,2023-03-10,1,0,0.0,15.95,-0.01442
603949,2023-04-14,15.72,15.95,15.64,15.79,1389040,21929879.0,3312838.32,3332162.14,0.004453,0.004453,23.153743,22.105951,1,2023-03-10,1,0,0.0,15.72,0.004453
603949,2023-04-17,15.68,15.83,15.67,15.7,671840,10555409.0,3293955.77,3313169.45,-0.0057,-0.0057,23.021771,21.979951,1,2023-03-10,1,0,0.0,15.79,-0.0057
603949,2023-04-18,15.59,15.78,15.51,15.6,991940,15460826.0,3272975.16,3292066.46,-0.006369,-0.006369,22.875136,21.839951,1,2023-03-10,1,0,0.0,15.7,-0.006369
603949,2023-04-19,15.61,15.61,15.18,15.21,1151560,17570336.0,3191150.78,3209764.79,-0.025,-0.025,22.303258,21.293952,1,2023-03-10,1,0,0.0,15.6,-0.025
603949,2023-04-20,15.22,15.49,14.92,15.38,1946980,29660561.0,3226817.82,3245639.88,0.011177,0.011177,22.552538,21.531951,1,2023-03-10,1,0,0.0,15.21,0.011177
603949,2023-04-21,15.37,15.4,14.78,14.83,1082600,16313678.0,3111424.46,3129573.43,-0.035761,-0.035761,21.746043,20.761953,1,2023-03-10,1,0,0.0,15.38,-0.035761
603949,2023-04-24,14.83,14.96,14.39,14.51,1388340,20246583.0,3044286.51,3062043.86,-0.021578,-0.021578,21.276809,20.313954,1,2023-03-10,1,0,0.0,14.83,-0.021578
603949,2023-04-25,14.5,14.62,13.45,13.69,3769972,53255463.0,2872245.51,2888999.34,-0.056513,-0.056513,20.074398,19.165957,1,2023-03-10,1,0,0.0,14.51,-0.056513
603949,2023-04-26,13.69,14.13,13.54,14.04,1891868,26394560.0,2945677.64,2962859.81,0.025566,0.025566,20.587622,19.655956,1,2023-03-10,1,0,0.0,13.69,0.025566
603949,2023-04-27,14.04,14.35,13.9,14.23,1568040,22302932.0,2985540.8,3002955.49,0.013533,0.013533,20.866229,19.921955,1,2023-03-10,1,0,0.0,14.04,0.013533
603949,2023-04-28,14.23,15.1,14.23,15.0,1772700,26267078.0,3147091.5,3165448.52,0.054111,0.054111,21.995322,20.999953,1,2023-03-10,1,0,0.0,14.23,0.054111
603949,2023-05-04,15.0,15.35,14.83,15.14,1711000,25813889.0,3176464.35,3194992.7,0.009333,0.009333,22.200612,21.195953,1,2023-03-10,1,0,0.0,15.0,0.009333
