,Name,Code,Date,Open,Close,High,Low,Volume,MACD_EMA26,MACD_EMA12,MACD_DIF,MACD_DEA,MACD_MACD,DMI_TR,DMI_DI1,DMI_DI2,DMI_ADX,DMI_ADXR,EXPMA_MA1,EXPMA_MA2,EXPMA_MA3,EXPMA_MA4,PSY_PSY,PSY_PSYMA,KDJ_K,KDJ_D,KDJ_J,BOLL_Mid,BOLL_Top,BOLL_Bottom,WR1,WR2,RSI_RSI6,RSI_RSI12,RSI_RSI24,RSI_tmp1_1,RSI_tmp1_2,RSI_tmp2_1,RSI_tmp2_2,RSI_tmp3_1,RSI_tmp3_2,BIAS_BIAS1,BIAS_BIAS2,BIAS_BIAS3,VR_VR,ARBR_AR,ARBR_BR,ASI_SI,ASI_ASI,ASI_ASIT,MIKE_WR,MIKE_MR,MIKE_SR,MIKE_WS,MIKE_MS,MIKE_SS,ROC_ROC,ROC_MAROC,MTM_MTM,MTM_MTMMA,CurrentState,FutureState
0,华利集团,300979,2021-05-11,85.0,85.65,88.63,82.0,67037,42.35915713171602,67.53140261873257,25.17224548701655,18.60346609302525,13.13755878798261,0.0,0.0,0.0,0.0,0.0,86.39364578570341,73.02721379180926,50.69644802022879,21.61845971186478,0.0,0.0,44.28182437031995,48.09394145677331,36.65759019741321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-4.680544645194915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
1,华利集团,300979,2021-05-12,85.0,82.16,86.57,79.79,87966,45.30736771455187,69.78195606200448,24.47458834745261,19.77769054391072,9.393795607083774,0.0,0.0,0.0,0.0,0.0,84.98243052380228,74.68772037511667,53.692976780207,23.60342824590201,0.0,0.0,32.60835966227659,42.93208085860773,11.9609172696143,0.0,0.0,0.0,90.73856975381013,79.03335602450647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-64.18202853837268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
2,华利集团,300979,2021-05-13,80.71,88.1,89.88,80.36,79391,48.47719232828877,72.60011666784995,24.12292433956117,20.64673730304081,6.952374073040723,0.0,0.0,0.0,0.0,0.0,86.02162034920151,77.12631667055,56.969836134473,25.71806994275767,0.0,0.0,32.56344727778188,39.47586966499912,18.73860250334742,0.0,0.0,0.0,67.52637749120753,67.52637749120753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,80.95277777777768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,华利集团,300979,2021-05-14,89.0,88.8,90.58,86.68,56546,51.46406697063775,75.09240641125764,23.62833944061989,21.24305773055663,4.770563420126521,0.0,0.0,0.0,0.0,0.0,86.94774689946767,79.24880454863181,60.00128031214224,27.78632994463447,0.0,0.0,33.44532019899539,37.46568650966454,25.4045875776571,0.0,0.0,0.0,63.97441023590566,64.79093395857758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,27.36717077549896,0.0,0.0,101.3733333333333,118.0666666666667,134.76,71.99333333333334,59.30666666666667,46.62,0.0,0.0,0.0,0.0,1,1
4,华利集团,300979,2021-05-17,88.0,94.4,95.39,87.89,77251,54.64450645429422,78.06280542491031,23.41829897061609,21.67810597856852,3.480385984095143,0.0,0.0,0.0,0.0,0.0,89.43183126631178,82.00356735797149,63.27734885384298,29.9703847005481,58.33333333333334,16.66666666666667,41.32775156681757,38.75304152871554,46.47717164302162,0.0,0.0,0.0,6.346153846153816,42.90738569753808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,107.8272450532727,0.0,0.0,105.33,118.15,130.97,79.74000000000001,66.97000000000001,54.20000000000002,-5.599999999999994,0.0,-5.599999999999994,-0.9333333333333323,1,1
5,华利集团,300979,2021-05-18,93.31,94.68,97.3,92.38,45180,57.61009856879094,80.61929689800104,23.0091983292101,21.94432444869684,2.129747761026522,119.01,66.64145870094949,16.46080161330979,0.0,0.0,91.18122084420784,84.30837329288578,66.26807753442935,32.09201143167767,66.66666666666666,30.95238095238095,46.94743161638301,41.48450489127136,57.8732850666063,0.0,0.0,0.0,14.96287835522554,41.8132082844861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,32.33197093551312,0.0,0.0,109.7833333333333,120.3766666666667,130.97,84.19333333333336,69.19666666666669,54.20000000000002,7.835990888382699,-0.9333333333333323,6.88000000000001,0.2133333333333359,1,-1
6,华利集团,300979,2021-05-19,93.81,93.38,95.95,91.34,39096,60.25972089702864,82.58248199061627,22.32276109358763,22.020011777675,0.6054986318252631,85.64,25.23353573096684,24.08921064922931,0.0,0.0,91.9141472294719,85.95775996690654,68.85016538829322,34.10145367981939,58.33333333333334,38.77551020408163,49.41104264229612,44.12668414161294,59.97975964366248,0.0,0.0,0.0,22.38720731010853,46.89331770222745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-2.063045793397374,0.0,0.0,107.3233333333333,119.1466666666667,130.97,81.73333333333335,67.96666666666668,54.20000000000002,0.289979594028564,0.3726651480637841,0.269999999999996,0.2583333333333352,-1,-1
7,华利集团,300979,2021-05-20,93.5,92.0,95.6,91.38,42955,62.61085268243394,84.03133091513683,21.4204782327029,21.90010506868058,-0.9592536719553664,72.05999999999999,29.98889814043853,28.62892034415763,0.0,0.0,91.94276481964793,87.05634906383261,71.05491154178911,35.99976667392367,50.0,41.98250728862974,56.18455574592062,48.14597467638217,72.26171788499752,0.0,0.0,0.0,31.28689492325855,51.17952818872452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-21.6874642243847,0.0,0.0,106.1966666666667,118.5833333333333,130.97,80.60666666666668,67.40333333333335,54.20000000000002,-2.138070418040639,0.4209950804018781,-2.010000000000005,-0.07666666666666562,-1,-1
8,华利集团,300979,2021-05-21,92.5,90.5,93.98,89.45,37643,64.67671544669808,85.02651077434655,20.34979532764847,21.59004312047416,-2.480495585651383,75.47000000000001,28.6338942626209,29.89267258513312,0.0,0.0,91.46184321309862,87.68246741586304,72.90682472828539,37.7866595698606,41.66666666666667,41.89226711092601,57.84472001184351,51.37888978820261,70.7763804591253,0.0,0.0,0.0,64.03013182674204,38.83495145631068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-57.14285714285691,0.0,0.0,102.83,116.9,130.97,77.24000000000001,65.72000000000001,54.20000000000002,-10.92519685039369,0.06465001072843816,-11.09999999999999,-1.926666666666665,-1,-1
9,华利集团,300979,2021-05-24,90.81,89.2,91.66,87.0,40940,66.49325504323897,85.6685860398317,19.17533099659272,21.10710069569787,-3.8635393982103,76.89999999999996,24.64239271781536,32.5227568270481,0.0,0.0,90.70789547539908,87.95838243116067,74.45855570654392,39.47234286265205,33.33333333333333,39.44685746018524,56.47671987083114,53.07816648241212,63.27382664766918,0.0,0.0,0.0,78.64077669902909,46.25928041119359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-52.2834788937408,0.0,0.0,98.78333333333335,114.2966666666667,129.81,73.77333333333335,64.27666666666669,54.78000000000002,-12.54901960784313,-1.756216131003844,-12.8,-4.059999999999998,-1,1
