Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
688426,2023-04-03,40.56,40.89,40.0,40.5,542750,21978439.0,811838.78,3787680.41,-0.001479,-0.001479,40.5,40.5,32,2022-12-22,1,0,0.0,40.56,-0.001479
688426,2023-04-04,41.0,41.38,39.46,40.1,704268,28300066.0,803820.62,3750271.22,-0.009877,-0.009877,40.1,40.1,32,2022-12-22,1,0,0.0,40.5,-0.009877
688426,2023-04-06,39.51,40.3,39.3,39.84,557856,22125629.0,798608.82,3725955.24,-0.006484,-0.006484,39.84,39.84,32,2022-12-22,1,0,0.0,40.1,-0.006484
688426,2023-04-07,39.9,43.49,39.9,42.27,1263120,52810437.0,847319.14,3953216.07,0.060994,0.060994,42.27,42.27,32,2022-12-22,1,0,0.0,39.84,0.060994
688426,2023-04-10,43.2,44.01,42.11,43.41,841699,36417233.0,870170.9,4059832.26,0.026969,0.026969,43.41,43.41,32,2022-12-22,1,0,0.0,42.27,0.026969
688426,2023-04-11,43.8,43.8,41.62,42.15,580022,24517357.0,844913.69,3941993.31,-0.029026,-0.029026,42.15,42.15,32,2022-12-22,1,0,0.0,43.41,-0.029026
688426,2023-04-12,42.16,42.42,40.85,41.35,679615,28104509.0,828877.37,3867174.93,-0.01898,-0.01898,41.35,41.35,32,2022-12-22,1,0,0.0,42.15,-0.01898
688426,2023-04-13,41.25,43.1,40.83,42.13,876531,36741447.0,844512.79,3940122.85,0.018863,0.018863,42.13,42.13,32,2022-12-22,1,0,0.0,41.35,0.018863
688426,2023-04-14,41.79,43.64,41.53,42.65,648475,27581291.0,854936.4,3988754.8,0.012343,0.012343,42.65,42.65,32,2022-12-22,1,0,0.0,42.13,0.012343
688426,2023-04-17,42.65,45.14,42.65,43.26,800747,35215268.0,867164.09,4045803.81,0.014302,0.014302,43.26,43.26,32,2022-12-22,1,0,0.0,42.65,0.014302
688426,2023-04-18,43.28,43.3,40.96,41.36,779368,32501439.0,829077.83,3868110.16,-0.04392,-0.04392,41.36,41.36,32,2022-12-22,1,0,0.0,43.26,-0.04392
688426,2023-04-19,41.36,41.36,40.55,40.99,419969,17164456.0,821661.03,3833506.66,-0.008946,-0.008946,40.99,40.99,32,2022-12-22,1,0,0.0,41.36,-0.008946
688426,2023-04-20,41.81,41.81,39.5,39.5,686802,27574424.0,791793.38,3694157.43,-0.03635,-0.03635,39.5,39.5,32,2022-12-22,1,0,0.0,40.99,-0.03635
688426,2023-04-21,39.8,40.52,39.0,39.3,836056,33120833.0,787784.3,3675452.84,-0.005063,-0.005063,39.3,39.3,32,2022-12-22,1,0,0.0,39.5,-0.005063
688426,2023-04-24,39.3,39.85,38.88,39.01,499208,19621847.0,781971.13,3648331.18,-0.007379,-0.007379,39.01,39.01,32,2022-12-22,1,0,0.0,39.3,-0.007379
688426,2023-04-25,39.5,40.85,37.5,37.95,1479010,57252442.0,794467.73,3549196.83,-0.027173,-0.027173,37.95,37.95,32,2023-04-25,1,0,0.0,39.01,-0.027173
688426,2023-04-26,39.0,40.38,38.54,39.31,770080,30402043.0,822938.77,3676388.07,0.035837,0.035837,39.31,39.31,32,2023-04-25,1,0,0.0,37.95,0.035837
688426,2023-04-27,39.23,40.88,39.23,39.88,1077542,43213723.0,834871.49,3729696.16,0.0145,0.0145,39.88,39.88,32,2023-04-25,1,0,0.0,39.31,0.0145
688426,2023-04-28,38.73,42.0,38.12,39.19,2243018,89387702.0,820426.62,3665165.31,-0.017302,-0.017302,39.19,39.19,32,2023-04-25,1,0,0.0,39.88,-0.017302
688426,2023-05-04,40.18,41.55,38.11,41.27,1439719,57426994.0,863970.57,3859693.1,0.053075,0.053075,41.27,41.27,32,2023-04-25,1,0,0.0,39.19,0.053075
688426,2023-05-05,42.0,42.7,39.62,40.04,1055664,42641864.0,838221.02,3744659.84,-0.029804,-0.029804,40.04,40.04,32,2023-04-25,1,0,0.0,41.27,-0.029804
