Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
000555,2023-04-03,13.98,14.2,13.68,14.11,28031113,392280719.17,13828739.2,13879353.89,0.007138,0.007138,44.658613,43.458557,4,2022-12-31,1,0,0.0,14.01,0.007138
000555,2023-04-04,14.02,14.73,13.93,14.66,38498135,554267755.53,14367775.81,14420363.43,0.038979,0.038979,46.399381,45.152548,4,2022-12-31,1,0,0.0,14.11,0.038979
000555,2023-04-06,14.37,14.5,13.91,14.03,29929989,424103881.2,13750333.88,13800661.59,-0.042974,-0.042974,44.40541,43.212159,4,2022-12-31,1,0,0.0,14.66,-0.042974
000555,2023-04-07,14.09,14.29,13.86,14.26,18796274,264845622.25,13975749.19,14026901.95,0.016393,0.016393,45.133368,43.920555,4,2022-12-31,1,0,0.0,14.03,0.016393
000555,2023-04-10,14.27,14.35,13.51,13.58,25613884,356310951.35,13309303.93,13358017.42,-0.047686,-0.047686,42.981146,41.826167,4,2022-12-31,1,0,0.0,14.26,-0.047686
000555,2023-04-11,13.51,13.98,13.43,13.95,18401110,253731941.18,13671928.55,13721969.3,0.027246,0.027246,44.152208,42.965761,4,2022-12-31,1,0,0.0,13.58,0.027246
000555,2023-04-12,13.97,14.27,13.88,14.16,15433610,217836304.47,13877742.53,13928536.58,0.015054,0.015054,44.816865,43.612557,4,2022-12-31,1,0,0.0,13.95,0.015054
000555,2023-04-13,14.02,14.35,13.9,14.0,17465595,246378482.73,13720931.88,13771151.98,-0.011299,-0.011299,44.31046,43.11976,4,2022-12-31,1,0,0.0,14.16,-0.011299
000555,2023-04-14,14.05,14.19,13.63,14.08,15975594,223075119.6,13799337.21,13849844.28,0.005714,0.005714,44.563663,43.366159,4,2022-12-31,1,0,0.0,14.0,0.005714
000555,2023-04-17,14.02,14.08,13.66,13.78,11459843,158153311.84,13505317.24,13554748.17,-0.021307,-0.021307,43.614153,42.442164,4,2022-12-31,1,0,0.0,14.08,-0.021307
000555,2023-04-18,13.85,13.86,13.47,13.7,10653189,145842611.76,13426911.91,13476055.87,-0.005806,-0.005806,43.36095,42.195765,4,2022-12-31,1,0,0.0,13.78,-0.005806
000555,2023-04-19,13.63,14.29,13.62,13.99,15672215,220389223.93,13711131.22,13761315.44,0.021168,0.021168,44.27881,43.08896,4,2022-12-31,1,0,0.0,13.7,0.021168
000555,2023-04-20,13.92,14.35,13.9,14.25,13972465,198587833.91,13965948.52,14017065.41,0.018585,0.018585,45.101719,43.889756,4,2022-12-31,1,0,0.0,13.99,0.018585
000555,2023-04-21,14.21,14.32,13.45,13.46,16037009,220674930.5,13191695.94,13239978.98,-0.055439,-0.055439,42.601343,41.45657,4,2022-12-31,1,0,0.0,14.25,-0.055439
