Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
000560,2023-04-03,3.02,3.36,3.01,3.36,119361245,387550660.4,7559363.79,7914482.86,0.101639,0.101639,17.767702,14.633205,4,2022-06-30,1,0,0.0,3.05,0.101639
000560,2023-04-04,3.35,3.49,3.29,3.42,143559489,488391655.6,7694352.43,8055812.91,0.017857,0.017857,18.084982,14.894512,4,2022-06-30,1,0,0.0,3.36,0.017857
000560,2023-04-06,3.37,3.38,3.14,3.21,105530126,340696570.12,7221892.2,7561157.73,-0.061404,-0.061404,16.974501,13.979937,4,2022-06-30,1,0,0.0,3.42,-0.061404
000560,2023-04-07,3.21,3.53,3.18,3.53,82102698,281431850.25,7941831.61,8314918.0,0.099688,0.099688,18.666663,15.373576,4,2022-06-30,1,0,0.0,3.21,0.099688
000560,2023-04-10,3.53,3.58,3.43,3.46,181073089,632954866.05,7784344.86,8150032.94,-0.01983,-0.01983,18.296503,15.068718,4,2022-06-30,1,0,0.0,3.53,-0.01983
000560,2023-04-11,3.46,3.49,3.34,3.48,103679975,354894662.45,7829341.07,8197142.96,0.00578,0.00578,18.402263,15.15582,4,2022-06-30,1,0,0.0,3.46,0.00578
000560,2023-04-12,3.46,3.52,3.37,3.47,89033722,306820608.94,7806842.97,8173587.95,-0.002874,-0.002874,18.349383,15.112269,4,2022-06-30,1,0,0.0,3.48,-0.002874
000560,2023-04-13,3.45,3.72,3.38,3.64,151890973,543496908.81,8189310.78,8574023.1,0.048991,0.048991,19.248344,15.85264,4,2022-06-30,1,0,0.0,3.47,0.048991
000560,2023-04-14,3.53,3.58,3.4,3.5,104027673,362227163.9,7874337.29,8244252.98,-0.038462,-0.038462,18.508023,15.242923,4,2022-06-30,1,0,0.0,3.64,-0.038462
000560,2023-04-17,3.46,3.47,3.33,3.37,77833024,262773880.45,7581861.9,7938037.87,-0.037143,-0.037143,17.820582,14.676757,4,2022-06-30,1,0,0.0,3.5,-0.037143
