Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
300903,2023-04-03,12.47,12.58,12.36,12.57,10230624,127700661.65,3460298.13,5212708.88,0.014528,0.014528,22.719726,22.625986,16,2023-02-27,1,300,3771.0,12.39,0.014528
300903,2023-04-04,12.48,12.64,12.26,12.38,10671237,133003053.95,3407994.5,5133916.94,-0.015115,-0.015115,22.376309,22.283986,16,2023-02-27,1,0,0.0,12.57,-0.015115
300903,2023-04-06,12.38,12.97,12.28,12.82,16576028,211122884.34,3529118.7,5316382.49,0.035541,0.035541,23.17159,23.075986,16,2023-02-27,1,3000,38460.0,12.38,0.035541
300903,2023-04-07,12.8,12.85,12.61,12.79,9628385,122386368.96,3520860.23,5303941.66,-0.00234,-0.00234,23.117366,23.021986,16,2023-02-27,1,0,0.0,12.82,-0.00234
300903,2023-04-10,12.82,12.92,12.51,12.58,8574117,109098360.02,3463050.96,5216855.83,-0.016419,-0.016419,22.7378,22.643986,16,2023-02-27,1,0,0.0,12.79,-0.016419
300903,2023-04-11,12.57,13.05,12.55,12.76,10253284,130969558.35,3512601.77,5291500.82,0.014308,0.014308,23.063142,22.967986,16,2023-02-27,1,0,0.0,12.58,0.014308
300903,2023-04-12,12.68,13.04,12.64,12.98,11710325,151257497.49,3573163.86,5382733.6,0.017241,0.017241,23.460782,23.363986,16,2023-02-27,1,0,0.0,12.76,0.017241
300903,2023-04-13,12.98,13.0,12.66,12.7,10191216,130321533.21,3496084.83,5266619.16,-0.021572,-0.021572,22.954694,22.859986,16,2023-02-27,1,0,0.0,12.98,-0.021572
300903,2023-04-14,12.75,12.75,12.37,12.67,12268614,154502352.62,3487826.36,5254178.33,-0.002362,-0.002362,22.90047,22.805986,16,2023-02-27,1,4100,51947.0,12.7,-0.002362
300903,2023-04-17,12.57,12.81,12.43,12.48,8378214,105186781.35,3435522.73,5175386.39,-0.014996,-0.014996,22.557053,22.463986,16,2023-02-27,1,0,0.0,12.67,-0.014996
300903,2023-04-18,12.42,12.45,12.11,12.31,8759319,107441249.53,3388724.74,5104888.33,-0.013622,-0.013622,22.249785,22.157986,16,2023-02-27,1,0,0.0,12.48,-0.013622
300903,2023-04-19,12.27,12.6,12.23,12.4,9268810,115222432.18,3413500.15,5142210.83,0.007311,0.007311,22.412456,22.319986,16,2023-02-27,1,0,0.0,12.31,0.007311
300903,2023-04-20,12.37,12.43,12.22,12.36,8015032,98757234.4,3402488.86,5125623.06,-0.003226,-0.003226,22.340158,22.247986,16,2023-02-27,1,600,7416.0,12.4,-0.003226
300903,2023-04-21,12.29,12.33,11.48,11.49,16157603,191097868.28,3162993.28,4764838.91,-0.070388,-0.070388,20.767671,20.681987,16,2023-02-27,1,0,0.0,12.36,-0.070388
300903,2023-04-24,11.45,11.6,11.29,11.39,8334142,95124123.42,3135465.06,4723369.47,-0.008703,-0.008703,20.586925,20.501987,16,2023-02-27,1,0,0.0,11.49,-0.008703
300903,2023-04-25,10.8,10.8,9.11,9.28,31738031,301162430.29,2554619.47,3848364.24,-0.18525,-0.18525,16.773193,16.703989,16,2023-02-27,1,0,0.0,11.39,-0.18525
300903,2023-04-26,9.16,9.41,9.15,9.33,15754478,146488662.0,2568383.58,3869098.96,0.005388,0.005388,16.863566,16.793989,16,2023-02-27,1,0,0.0,9.28,0.005388
300903,2023-04-27,9.32,9.46,9.17,9.18,10023289,93183142.46,2527091.24,3806894.79,-0.016077,-0.016077,16.592448,16.523989,16,2023-02-27,1,0,0.0,9.33,-0.016077
300903,2023-04-28,9.16,9.39,9.13,9.37,9553317,88830417.37,2579394.87,3885686.73,0.020697,0.020697,16.935865,16.865989,16,2023-02-27,1,0,0.0,9.18,0.020697
300903,2023-05-04,9.33,9.36,9.06,9.16,12058776,110457832.58,2521585.59,3798600.91,-0.022412,-0.022412,16.556299,16.487989,16,2023-02-27,1,0,0.0,9.37,-0.022412
300903,2023-05-05,9.13,9.19,8.86,8.93,10110000,90767074.48,2458270.67,3703221.19,-0.025109,-0.025109,16.140584,16.073989,16,2023-02-27,1,1200,10716.0,9.16,-0.025109
300903,2023-05-08,8.93,9.01,8.9,8.95,7861701,70429070.85,2463776.32,3711515.08,0.00224,0.00224,16.176733,16.109989,16,2023-02-27,1,0,0.0,8.93,0.00224
300903,2023-05-09,8.9,9.01,8.73,8.73,10118307,89484451.36,2403214.22,3620282.3,-0.024581,-0.024581,15.779093,15.713989,16,2023-02-27,1,0,0.0,8.95,-0.024581
300903,2023-05-10,8.81,8.86,8.65,8.78,8072729,70643828.81,2416978.33,3641017.03,0.005727,0.005727,15.869466,15.803989,16,2023-02-27,1,0,0.0,8.73,0.005727
300903,2023-05-11,8.79,8.89,8.74,8.85,6399690,56452904.56,2436248.09,3670045.63,0.007973,0.007973,15.995988,15.929989,16,2023-02-27,1,1200,10620.0,8.78,0.007973
300903,2023-05-12,8.81,8.9,8.65,8.67,8748195,76515108.76,2386697.28,3595400.64,-0.020339,-0.020339,15.670646,15.605989,16,2023-02-27,1,0,0.0,8.85,-0.020339
300903,2023-05-15,8.65,8.83,8.57,8.81,7697717,66877742.1,2425236.8,3653457.86,0.016148,0.016148,15.92369,15.857989,16,2023-02-27,1,0,0.0,8.67,0.016148
300903,2023-05-16,8.8,8.87,8.67,8.83,7413781,65100682.93,2430742.44,3661751.75,0.00227,0.00227,15.959839,15.893989,16,2023-02-27,1,0,0.0,8.81,0.00227
300903,2023-05-17,8.76,9.09,8.74,9.05,11910229,107227228.13,2491304.54,3752984.52,0.024915,0.024915,16.357479,16.289989,16,2023-02-27,1,0,0.0,8.83,0.024915
300903,2023-05-18,9.04,9.25,9.0,9.23,9827231,89822471.61,2540855.35,3827629.52,0.01989,0.01989,16.682821,16.613989,16,2023-02-27,1,700,6461.0,9.05,0.01989
300903,2023-05-19,9.18,9.5,9.17,9.46,12509983,117413111.95,2604170.27,3923009.23,0.024919,0.024919,17.098536,17.027989,16,2023-02-27,1,0,0.0,9.23,0.024919
300903,2023-05-22,9.53,9.89,9.52,9.68,19470106,189226530.59,2664732.37,4014242.0,0.023256,0.023256,17.496176,17.423989,16,2023-02-27,1,0,0.0,9.46,0.023256
300903,2023-05-23,9.54,9.83,9.54,9.64,13099848,126966916.98,2653721.08,3997654.23,-0.004132,-0.004132,17.423878,17.351989,16,2023-02-27,1,0,0.0,9.68,-0.004132
300903,2023-05-24,9.64,9.82,9.51,9.67,11672759,112826507.99,2661979.55,4010095.06,0.003112,0.003112,17.478102,17.405989,16,2023-02-27,1,0,0.0,9.64,0.003112
300903,2023-05-25,9.7,9.85,9.56,9.76,9882875,95784943.78,2686754.96,4047417.56,0.009307,0.009307,17.640773,17.567989,16,2023-02-27,1,1000,9760.0,9.67,0.009307
300903,2023-05-26,9.72,10.87,9.7,10.29,32805242,340141331.21,2832654.56,4267205.6,0.054303,0.054303,18.598725,18.521988,16,2023-02-27,1,0,0.0,9.76,0.054303
300903,2023-05-29,10.34,10.58,10.18,10.52,25703021,267583059.1,2895969.48,4362585.32,0.022352,0.022352,19.01444,18.935988,16,2023-02-27,1,0,0.0,10.29,0.022352
300903,2023-05-30,10.3,10.46,10.08,10.3,21648910,222298765.43,2835407.38,4271352.55,-0.020913,-0.020913,18.6168,18.539988,16,2023-02-27,1,0,0.0,10.52,-0.020913
300903,2023-05-31,10.14,10.39,10.06,10.34,16530211,168851493.29,2846418.67,4287940.32,0.003883,0.003883,18.689098,18.611988,16,2023-02-27,1,0,0.0,10.3,0.003883
300903,2023-06-01,10.25,10.33,10.08,10.24,13065245,133702808.1,2818890.44,4246470.88,-0.009671,-0.009671,18.508352,18.431988,16,2023-02-27,1,0,0.0,10.34,-0.009671
300903,2023-06-02,10.25,10.38,10.19,10.27,8361543,85891672.22,2827148.91,4258911.71,0.00293,0.00293,18.562576,18.485988,16,2023-02-27,1,0,0.0,10.24,0.00293
