Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
835857,2023-04-03,3.43,3.45,3.41,3.43,735183,2519075.51,332977.97,621733.11,-0.002907,-0.002907,3.43,3.43,64,2023-03-14,1,0,0.0,3.44,-0.002907
835857,2023-04-04,3.42,3.43,3.41,3.41,365928,1250370.41,331036.4,618107.84,-0.005831,-0.005831,3.41,3.41,64,2023-03-14,1,0,0.0,3.43,-0.005831
835857,2023-04-06,3.41,3.42,3.4,3.42,435769,1484526.39,332007.18,619920.48,0.002933,0.002933,3.42,3.42,64,2023-03-14,1,0,0.0,3.41,0.002933
835857,2023-04-07,3.41,3.44,3.4,3.44,325139,1115174.65,333948.75,623545.74,0.005848,0.005848,3.44,3.44,64,2023-03-14,1,0,0.0,3.42,0.005848
835857,2023-04-10,3.41,3.44,3.41,3.44,177084,607063.92,333776.75,623545.74,0.0,0.0,3.44,3.44,64,2023-04-06,1,0,0.0,3.44,0.0
835857,2023-04-11,3.45,3.45,3.41,3.43,229125,784220.78,332806.47,621733.11,-0.002907,-0.002907,3.43,3.43,64,2023-04-06,1,0,0.0,3.44,-0.002907
835857,2023-04-12,3.41,3.42,3.41,3.42,347895,1187135.31,331836.18,619920.48,-0.002915,-0.002915,3.42,3.42,64,2023-04-06,1,0,0.0,3.43,-0.002915
835857,2023-04-13,3.4,3.43,3.4,3.41,192561,657743.62,330865.9,618107.84,-0.002924,-0.002924,3.41,3.41,64,2023-04-06,1,0,0.0,3.42,-0.002924
835857,2023-04-14,3.42,3.43,3.41,3.42,168571,575489.62,331836.18,619920.48,0.002933,0.002933,3.42,3.42,64,2023-04-06,1,0,0.0,3.41,0.002933
835857,2023-04-17,3.42,3.42,3.4,3.41,203451,693898.36,330865.9,618107.84,-0.002924,-0.002924,3.41,3.41,64,2023-04-06,1,0,0.0,3.42,-0.002924
835857,2023-04-18,3.41,3.43,3.4,3.41,918240,3001234.12,330865.9,618107.84,0.0,0.0,3.41,3.41,64,2023-04-06,1,0,0.0,3.41,0.0
835857,2023-04-19,3.41,3.41,3.37,3.37,853124,2882444.7,326984.78,610857.31,-0.01173,-0.01173,3.37,3.37,64,2023-04-06,1,0,0.0,3.41,-0.01173
835857,2023-04-20,3.37,3.38,3.35,3.36,400278,1344863.01,326014.5,609044.68,-0.002967,-0.002967,3.36,3.36,64,2023-04-06,1,0,0.0,3.37,-0.002967
835857,2023-04-21,3.34,3.36,3.32,3.33,458443,1530867.62,323103.65,603606.78,-0.008929,-0.008929,3.33,3.33,64,2023-04-06,1,0,0.0,3.36,-0.008929
835857,2023-04-24,3.33,3.34,3.31,3.32,252092,835739.63,322133.37,601794.15,-0.003003,-0.003003,3.32,3.32,64,2023-04-06,1,0,0.0,3.33,-0.003003
835857,2023-04-25,3.33,3.33,3.26,3.26,390726,1281751.69,316311.68,590918.35,-0.018072,-0.018072,3.26,3.26,64,2023-04-06,1,0,0.0,3.32,-0.018072
835857,2023-04-26,3.24,3.31,3.24,3.29,169336,557204.85,319222.53,596356.25,0.009202,0.009202,3.29,3.29,64,2023-04-06,1,0,0.0,3.26,0.009202
835857,2023-04-27,3.27,3.3,3.27,3.29,101943,334987.02,319222.53,596356.25,0.0,0.0,3.29,3.29,64,2023-04-06,1,0,0.0,3.29,0.0
835857,2023-04-28,3.32,3.35,3.3,3.33,459342,1527189.78,323103.65,603606.78,0.012158,0.012158,3.33,3.33,64,2023-04-06,1,0,0.0,3.29,0.012158
835857,2023-05-04,3.35,3.35,3.31,3.33,238931,795421.98,323103.65,603606.78,0.0,0.0,3.33,3.33,64,2023-04-06,1,0,0.0,3.33,0.0
835857,2023-05-05,3.33,3.41,3.32,3.4,886429,2987259.42,329895.62,616295.21,0.021021,0.021021,3.4,3.4,64,2023-04-06,1,0,0.0,3.33,0.021021
835857,2023-05-08,3.4,3.51,3.4,3.51,2545869,8847127.62,340568.72,636234.17,0.032353,0.032353,3.51,3.51,64,2023-04-06,1,0,0.0,3.4,0.032353
835857,2023-05-09,3.53,3.53,3.42,3.44,1581289,5475893.77,333776.75,623545.74,-0.019943,-0.019943,3.44,3.44,64,2023-04-06,1,0,0.0,3.51,-0.019943
835857,2023-05-10,3.44,3.46,3.41,3.43,679613,2327742.5,332806.47,621733.11,-0.002907,-0.002907,3.43,3.43,64,2023-04-06,1,0,0.0,3.44,-0.002907
835857,2023-05-11,3.46,3.49,3.44,3.47,1172639,4075249.8,336687.59,628983.64,0.011662,0.011662,3.47,3.47,64,2023-04-06,1,0,0.0,3.43,0.011662
835857,2023-05-12,3.45,3.48,3.44,3.44,331274,1141998.8,333776.75,623545.74,-0.008646,-0.008646,3.44,3.44,64,2023-04-06,1,0,0.0,3.47,-0.008646
835857,2023-05-15,3.43,3.46,3.43,3.44,308041,1059158.86,333776.75,623545.74,0.0,0.0,3.44,3.44,64,2023-04-06,1,0,0.0,3.44,0.0
