Stkcd
600089
600884
600085
000651
000661
000776
300454
601066
300760
300751
000733
000858
002050
600048
002236
601111
002064
300763
600989
300782
601698
601236
688005
003816
000876
601088
601628
601988
000786
000723
688036
688363
688111
601658
601816
688169
688396
600918
600745
002008
002007
002049
601898
601919
300122
300124
600183
688599
688981
688561
300896
300999
300919
300979
600009
601998
601600
600196
688303
688187
601868
600941
600426
601899
002493
601166
600999
600845
002352
601857
601939
002129
002311
000938
600436
600029
601336
300207
002555
002594
002602
601901
002601
000596
300316
601633
601669
000408
000001
000002
000301
000538
000568
601012
601238
601800
300347
603993
000333
603806
603899
603799
300014
601689
600958
002756
601985
600150
600010
600690
601390
300529
603986
601229
300595
002841
601881
300601
300628
600837
600132
600115
600104
600031
002202
300059
600406
603659
002916
601838
601360
603259
600061
600309
600460
600036
000792
600519
600887
600893
600050
300142
603486
601138
300750
002938
601319
603185
601615
300759
000708
002027
002032
601398
002271
002475
601865
300769
688008
688012
601766
601668
002304
601688
000100
600438
601808
601288
603290
603195
688126
603392
002001
601117
600018
600763
688065
601995
300957
605117
605499
600383
600588
600019
600016
600011
600674
002459
002460
000338
600905
601728
001289
600000
002466
601888
002410
002180
601877
600276
002230
601601
002414
002179
601788
002142
601009
002074
600606
600660
600741
600886
601989
300033
601186
601318
601006
002252
002415
601377
000800
002371
002241
601328
601169
000877
000895
600547
600015
600584
601799
000963
600570
000425
300223
002600
601216
601100
300274
000063
000069
000157
000625
000725
002648
002709
002714
601225
603288
603369
603019
300408
002736
300413
601021
000166
300015
300433
300450
601211
300498
601155
300496
001979
601966
600919
600188
600039
600900
600332
600176
600600
600028
600346
002120
002812
600926
002821
603833
601618
600219
000977
601818
600760
603501
300661
601878
603882
603260
600025
002920
600795
600111
600809
600030
600803
600362
600233
600585
000768
