Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
300685,2023-04-03,28.13,28.77,27.53,27.85,2506054,70296145.82,11071740.65,11088659.5,-0.010306,-0.010306,137.494617,135.350644,16,2023-02-14,1,0,0.0,28.14,-0.010306
300685,2023-04-04,27.86,28.15,27.24,27.58,2007767,55281743.61,10964402.41,10981157.24,-0.009695,-0.009695,136.161635,134.038447,16,2023-02-14,1,0,0.0,27.85,-0.009695
300685,2023-04-06,27.64,27.89,27.3,27.59,813829,22417822.77,10968377.9,10985138.8,0.000363,0.000363,136.211005,134.087047,16,2023-02-14,1,0,0.0,27.58,0.000363
300685,2023-04-07,27.79,28.28,27.48,28.05,1844054,51502370.95,11151250.46,11168290.81,0.016673,0.016673,138.482011,136.322641,16,2023-02-14,1,0,0.0,27.59,0.016673
300685,2023-04-10,28.33,28.53,27.68,27.88,1879150,52442313.67,11083667.12,11100604.2,-0.006061,-0.006061,137.642726,135.496443,16,2023-02-14,1,0,0.0,28.05,-0.006061
300685,2023-04-11,28.02,29.32,27.88,28.77,3541851,102014261.21,11437485.77,11454963.51,0.031923,0.031923,142.036629,139.821832,16,2023-02-14,1,0,0.0,27.88,0.031923
300685,2023-04-12,29.06,29.6,28.6,28.83,2293280,66480200.0,11461338.71,11478852.9,0.002086,0.002086,142.332847,140.113431,16,2023-02-14,1,0,0.0,28.77,0.002086
300685,2023-04-13,28.89,29.95,28.51,29.86,3500983,103358516.22,11870814.21,11888954.14,0.035727,0.035727,147.417926,145.119218,16,2023-02-14,1,0,0.0,28.83,0.035727
300685,2023-04-14,29.86,30.39,29.46,29.52,2389575,71201207.31,11735647.54,11753580.91,-0.011386,-0.011386,145.739356,143.466822,16,2023-02-14,1,0,0.0,29.86,-0.011386
300685,2023-04-17,29.68,29.79,28.75,28.97,2687406,78379995.44,11516995.57,11534594.82,-0.018631,-0.018631,143.024022,140.793829,16,2023-02-14,1,0,0.0,29.52,-0.018631
300685,2023-04-18,28.88,29.18,28.75,29.02,1505115,43649658.23,11536873.02,11554502.65,0.001726,0.001726,143.270871,141.036828,16,2023-02-14,1,0,0.0,28.97,0.001726
300685,2023-04-19,28.96,29.39,28.66,28.78,1312485,37973437.45,11441461.26,11458945.08,-0.00827,-0.00827,142.085998,139.870431,16,2023-02-14,1,0,0.0,29.02,-0.00827
300685,2023-04-20,28.85,29.17,28.63,28.78,1477010,42543308.4,11441461.26,11458945.08,0.0,0.0,142.085998,139.870431,16,2023-02-14,1,0,0.0,28.78,0.0
300685,2023-04-21,28.69,29.06,28.11,28.52,1896822,54223533.53,11338098.51,11355424.38,-0.009034,-0.009034,140.802386,138.606834,16,2023-02-14,1,0,0.0,28.78,-0.009034
300685,2023-04-24,28.03,28.43,27.1,27.27,3602055,99190762.29,10841162.21,10857728.71,-0.043829,-0.043829,134.631173,132.53185,16,2023-02-14,1,0,0.0,28.52,-0.043829
300685,2023-04-25,27.1,27.47,26.2,26.71,2520300,67235049.4,10618534.75,10634761.05,-0.020535,-0.020535,131.86647,129.810257,16,2023-02-14,1,0,0.0,27.27,-0.020535
300685,2023-04-26,26.57,27.56,26.57,26.81,1732093,47016579.3,10658289.66,10674576.7,0.003744,0.003744,132.360167,130.296256,16,2023-02-14,1,0,0.0,26.71,0.003744
300685,2023-04-27,26.8,28.35,26.76,28.19,2922140,81408351.26,11206907.32,11224032.72,0.051473,0.051473,139.173186,137.003038,16,2023-02-14,1,0,0.0,26.81,0.051473
300685,2023-04-28,28.08,28.46,27.92,28.14,1059813,29850139.4,11187029.87,11204124.89,-0.001774,-0.001774,138.926337,136.760039,16,2023-02-14,1,0,0.0,28.19,-0.001774
300685,2023-05-04,27.81,28.4,27.31,27.61,1956240,54457592.57,10976328.88,10993101.93,-0.018834,-0.018834,136.309743,134.184246,16,2023-02-14,1,0,0.0,28.14,-0.018834
300685,2023-05-05,27.61,27.87,26.88,27.23,1113592,30315179.4,10825260.25,10841802.45,-0.013763,-0.013763,134.433694,132.337451,16,2023-02-14,1,0,0.0,27.61,-0.013763
300685,2023-05-08,27.21,27.55,26.5,26.79,1460968,39188796.72,10650338.67,10666613.57,-0.016159,-0.016159,132.261427,130.199057,16,2023-02-14,1,0,0.0,27.23,-0.016159
300685,2023-05-09,26.77,26.79,25.98,25.98,2031742,53359537.21,10328323.96,10344106.78,-0.030235,-0.030235,128.262481,126.262467,16,2023-02-14,1,0,0.0,26.79,-0.030235
300685,2023-05-10,26.02,26.6,26.0,26.44,1145604,30161559.74,10511196.51,10527258.79,0.017706,0.017706,130.533487,128.498061,16,2023-02-14,1,0,0.0,25.98,0.017706
300685,2023-05-11,26.5,26.72,25.83,25.97,1302707,34054355.31,10324348.46,10340125.21,-0.017776,-0.017776,128.213111,126.213867,16,2023-02-14,1,0,0.0,26.44,-0.017776
300685,2023-05-12,25.83,26.17,25.59,25.92,1067960,27596158.5,10304471.01,10320217.39,-0.001925,-0.001925,127.966263,125.970868,16,2023-02-14,1,0,0.0,25.97,-0.001925
300685,2023-05-15,25.62,26.12,25.5,25.88,953151,24560869.96,10288569.05,10304291.13,-0.001543,-0.001543,127.768784,125.776469,16,2023-02-14,1,0,0.0,25.92,-0.001543
300685,2023-05-16,25.83,26.0,25.66,25.92,1112471,28746062.99,10304471.01,10320217.39,0.001546,0.001546,127.966263,125.970868,16,2023-02-14,1,0,0.0,25.88,0.001546
300685,2023-05-17,25.92,25.94,25.38,25.7,1002908,25669074.4,10217010.23,10232622.95,-0.008488,-0.008488,126.88013,124.901671,16,2023-02-14,1,0,0.0,25.92,-0.008488
300685,2023-05-18,25.71,26.28,25.45,25.62,946001,24330844.49,10185206.3,10200770.43,-0.003113,-0.003113,126.485172,124.512872,16,2023-02-14,1,0,0.0,25.7,-0.003113
300685,2023-05-19,25.62,26.07,25.42,25.99,1225660,31569622.6,10332299.45,10348088.34,0.014442,0.014442,128.311851,126.311067,16,2023-02-14,1,0,0.0,25.62,0.014442
300685,2023-05-22,25.95,26.58,25.95,26.43,1700888,44712818.68,10507221.02,10523277.22,0.01693,0.01693,130.484118,128.449461,16,2023-02-14,1,0,0.0,25.99,0.01693
