Date,Code,MACD,DMI,PSY_VR,KDJ,WR(s),WR(l),RSI,BIAS,ARBR,BULL,CurrentState,FutureState,PredictState
2023-6-2,603486,Wait,Wait,Wait,Buy,Sell,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,603501,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,Wait,Wait,-1,-1,-1
2023-6-2,603659,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,603799,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,603806,Wait,Wait,Wait,Wait,Buy,Wait,Buy,Buy,Wait,Wait,1,-1,1
2023-6-2,603833,Buy,Wait,Buy,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,603882,Buy,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,603899,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,603986,Wait,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,-1,-1,1
2023-6-2,603993,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Buy,1,-1,-1
2023-6-2,605117,Wait,Wait,Wait,Wait,Buy,Buy,Buy,Buy,Wait,Wait,1,-1,1
2023-6-2,605499,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000625,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Buy,1,-1,-1
2023-6-2,000063,Wait,Wait,Wait,Wait,Sell,Sell,Sell,Sell,Wait,Wait,1,1,-1
2023-6-2,000651,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000661,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,688005,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,688008,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
2023-6-2,688012,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,688036,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,688065,Wait,Wait,Wait,Buy,Sell,Sell,Wait,Wait,Wait,Buy,1,-1,-1
2023-6-2,688111,Wait,Wait,Wait,Wait,Sell,Wait,Wait,Sell,Wait,Wait,0,1,-1
2023-6-2,688126,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
2023-6-2,688169,Buy,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Buy,1,-1,-1
2023-6-2,688187,Wait,Wait,Wait,Sell,Wait,Wait,Wait,Wait,Wait,Wait,-1,-1,-1
2023-6-2,688303,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,688363,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,688396,Wait,Wait,Wait,Sell,Buy,Buy,Wait,Wait,Wait,Wait,-1,-1,1
2023-6-2,688561,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,688599,Wait,Wait,Wait,Wait,Buy,Buy,Wait,Buy,Wait,Wait,-1,-1,1
2023-6-2,688981,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,1,-1
2023-6-2,000069,Buy,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000708,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000723,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000725,Wait,Wait,Wait,Wait,Sell,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,000733,Sell,Wait,Wait,Wait,Buy,Buy,Wait,Wait,Wait,Wait,-1,-1,1
2023-6-2,000768,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000776,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,0,-1
2023-6-2,000786,Wait,Wait,Buy,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000792,Wait,Wait,Wait,Buy,Wait,Sell,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,000800,Wait,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,1,1,-1
2023-6-2,000858,Wait,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000876,Wait,Wait,Buy,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000877,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,-1,-1,-1
2023-6-2,000895,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Wait,1,-1,-1
2023-6-2,000938,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,-1,1,-1
2023-6-2,000963,Wait,Wait,Wait,Wait,Buy,Buy,Wait,Buy,Wait,Wait,1,-1,1
2023-6-2,000977,Wait,Wait,Wait,Wait,Wait,Wait,Wait,Sell,Wait,Wait,-1,1,-1
