Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
688003,2023-04-03,41.91,42.88,41.54,42.68,2190120,92645286.0,8309838.68,8309838.68,0.027443,0.027443,44.505298,42.679911,32,2022-07-22,1,0,0.0,41.54,0.027443
688003,2023-04-04,42.58,43.15,41.64,41.82,1965562,83073237.0,8142395.82,8142395.82,-0.02015,-0.02015,43.608518,41.819913,32,2022-07-22,1,0,0.0,42.68,-0.02015
688003,2023-04-06,41.49,42.8,41.3,42.21,2116234,89047706.0,8218329.21,8218329.21,0.009326,0.009326,44.015197,42.209912,32,2022-07-22,1,0,0.0,41.82,0.009326
688003,2023-04-07,42.51,43.49,41.7,42.78,1963841,83540634.0,8329308.78,8329308.78,0.013504,0.013504,44.609574,42.779911,32,2022-07-22,1,0,0.0,42.21,0.013504
688003,2023-04-10,45.0,46.88,43.5,43.67,5710929,258983102.0,8502592.67,8502592.67,0.020804,0.020804,45.537637,43.669909,32,2022-07-22,1,0,0.0,42.78,0.020804
688003,2023-04-11,43.66,44.11,41.85,42.11,2660570,113664730.0,8198859.11,8198859.11,-0.035722,-0.035722,43.91092,42.109912,32,2022-07-22,1,0,0.0,43.67,-0.035722
688003,2023-04-12,42.33,43.48,42.0,42.95,1855802,79381329.0,8362407.95,8362407.95,0.019948,0.019948,44.786844,42.94991,32,2022-07-22,1,0,0.0,42.11,0.019948
688003,2023-04-13,42.51,43.44,41.2,41.27,2337569,98463589.0,8035310.27,8035310.27,-0.039115,-0.039115,43.034995,41.269914,32,2022-07-22,1,0,0.0,42.95,-0.039115
688003,2023-04-14,41.6,43.17,40.7,42.82,2247368,94520606.0,8337096.82,8337096.82,0.037558,0.037558,44.651284,42.819911,32,2022-07-22,1,0,0.0,41.27,0.037558
688003,2023-04-17,43.48,45.2,42.99,43.43,2717407,119789081.0,8455864.43,8455864.43,0.014246,0.014246,45.287372,43.42991,32,2022-07-22,1,0,0.0,42.82,0.014246
688003,2023-04-18,43.48,43.9,41.6,42.11,1678382,70899255.0,8198859.11,8198859.11,-0.030394,-0.030394,43.91092,42.109913,32,2022-07-22,1,0,0.0,43.43,-0.030394
688003,2023-04-19,41.88,43.29,41.88,42.33,1255905,53421436.0,8241693.33,8241693.33,0.005224,0.005224,44.140329,42.329913,32,2022-07-22,1,0,0.0,42.11,0.005224
688003,2023-04-20,42.28,43.08,41.31,41.55,1381132,58089713.0,8089826.55,8089826.55,-0.018427,-0.018427,43.326971,41.549915,32,2022-07-22,1,0,0.0,42.33,-0.018427
688003,2023-04-21,41.8,41.92,39.2,39.28,1773226,71470173.0,7647855.28,7647855.28,-0.054633,-0.054633,40.95989,39.27992,32,2022-07-22,1,0,0.0,41.55,-0.054633
688003,2023-04-24,39.4,39.86,38.0,38.45,1616337,62593894.0,7486253.45,7486253.45,-0.02113,-0.02113,40.094393,38.449922,32,2022-07-22,1,0,0.0,39.28,-0.02113
688003,2023-04-25,38.77,38.77,36.7,37.27,1434509,53742295.0,7256506.27,7256506.27,-0.030689,-0.030689,38.863928,37.269924,32,2022-07-22,1,0,0.0,38.45,-0.030689
688003,2023-04-26,37.37,37.81,36.53,36.67,1419994,52662949.0,7139685.67,7139685.67,-0.016099,-0.016099,38.238268,36.669925,32,2022-07-22,1,0,0.0,37.27,-0.016099
688003,2023-04-27,36.88,37.21,36.0,36.12,1221222,44539139.0,7032600.12,7032600.12,-0.014999,-0.014999,37.664746,36.119926,32,2022-07-22,1,0,0.0,36.67,-0.014999
688003,2023-04-28,36.1,37.17,36.01,36.89,1161086,42676938.0,7182519.89,7182519.89,0.021318,0.021318,38.467677,36.889924,32,2022-07-22,1,1197,44157.33,36.12,0.021318
688003,2023-05-04,37.19,38.82,36.26,37.55,2937543,109744990.0,7311022.55,7311022.55,0.017891,0.017891,39.155903,37.549923,32,2022-07-22,1,0,0.0,36.89,0.017891
688003,2023-05-05,37.55,37.55,35.8,36.22,1504903,54821170.0,7052070.22,7052070.22,-0.035419,-0.035419,37.769023,36.219926,32,2022-07-22,1,0,0.0,37.55,-0.035419
688003,2023-05-08,36.22,36.38,35.6,35.79,1203207,43192001.0,6968348.79,6968348.79,-0.011872,-0.011872,37.320633,35.789927,32,2022-07-22,1,0,0.0,36.22,-0.011872
688003,2023-05-09,35.96,36.44,35.07,35.41,1073346,38320763.0,6894362.41,6894362.41,-0.010617,-0.010617,36.924382,35.409928,32,2022-07-22,1,0,0.0,35.79,-0.010617
