Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Markettype,Capchgdt,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio
301165,2023-04-03,50.01,54.34,50.01,54.07,7001834,369587999.6,3118986.32,30721590.9,0.068155,0.068155,54.07,54.07,16,2022-11-21,1,200,10814.0,50.62,0.068155
301165,2023-04-04,53.5,55.96,52.82,54.5,5949728,322179799.82,3143790.54,30965909.08,0.007953,0.007953,54.5,54.5,16,2022-11-21,1,100,5450.0,54.07,0.007953
301165,2023-04-06,52.8,57.63,52.36,53.9,6028272,331317507.69,3109180.0,30624999.99,-0.011009,-0.011009,53.9,53.9,16,2022-11-21,1,200,10780.0,54.5,-0.011009
301165,2023-04-07,53.7,55.7,52.71,54.6,3846347,208322648.42,3149558.96,31022727.26,0.012987,0.012987,54.6,54.6,16,2022-11-21,1,100,5460.0,53.9,0.012987
301165,2023-04-10,54.6,57.51,53.18,53.66,5438053,299167619.34,3095335.78,30488636.35,-0.017216,-0.017216,53.66,53.66,16,2022-11-21,1,200,10732.0,54.6,-0.017216
301165,2023-04-11,53.18,55.24,52.7,53.9,4067727,219609165.79,3109180.0,30624999.99,0.004473,0.004473,53.9,53.9,16,2022-11-21,1,500,26950.0,53.66,0.004473
301165,2023-04-12,53.9,64.68,53.06,64.68,10902969,660753296.41,3731016.0,36749999.99,0.2,0.2,64.68,64.68,16,2022-11-21,1,0,0.0,53.9,0.2
301165,2023-04-13,63.5,64.5,58.58,59.63,9719392,592707034.52,3439710.63,33880681.81,-0.078077,-0.078077,59.63,59.63,16,2022-11-21,1,700,41741.0,64.68,-0.078077
301165,2023-04-14,59.0,59.38,55.74,57.88,6667613,384393464.65,3338763.23,32886363.63,-0.029348,-0.029348,57.88,57.88,16,2022-11-21,1,3200,185216.0,59.63,-0.029348
301165,2023-04-17,57.0,58.95,56.05,58.3,5863873,338192866.03,3362990.61,33124999.99,0.007256,0.007256,58.3,58.3,16,2022-11-21,1,1100,64130.0,57.88,0.007256
301165,2023-04-18,57.55,63.88,57.0,60.32,10983061,668007463.21,3479512.75,34272727.26,0.034648,0.034648,60.32,60.32,16,2022-11-21,1,900,54288.0,58.3,0.034648
301165,2023-04-19,59.1,63.79,59.1,59.43,8496026,520186969.75,3428173.79,33767045.44,-0.014755,-0.014755,59.43,59.43,16,2022-11-21,1,2700,160461.0,60.32,-0.014755
301165,2023-04-20,60.2,62.86,59.59,62.31,7681967,473601824.44,3594304.37,35403409.08,0.04846,0.04846,62.31,62.31,16,2022-11-21,1,200,12462.0,59.43,0.04846
301165,2023-04-21,64.5,69.95,61.63,64.64,10995041,717814747.74,3728708.63,36727272.72,0.037394,0.037394,64.64,64.64,16,2022-11-21,1,1400,90496.0,62.31,0.037394
301165,2023-04-24,63.0,69.95,62.57,68.44,9260974,618613297.43,3947908.7,38886363.62,0.058787,0.058787,68.44,68.44,16,2022-11-21,1,0,0.0,64.64,0.058787
301165,2023-04-25,66.5,68.7,63.88,67.31,7184887,474996285.97,3882725.52,38244318.17,-0.016511,-0.016511,67.31,67.31,16,2022-11-21,1,1500,100965.0,68.44,-0.016511
